時刻,水位_水位,水位_差分,水位_source_file,ダム_60分雨量,ダム_累加雨量,ダム_貯水位,ダム_貯水率,ダム_流入量,ダム_全放流量,ダム_調整流量,ダム_source_file
2023/06/01 00:10,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.65,9.70,0.05,dam_20230601-20230701.csv
2023/06/01 00:20,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.69,9.52,-0.17,dam_20230601-20230701.csv
2023/06/01 00:30,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.73,9.72,-0.01,dam_20230601-20230701.csv
2023/06/01 00:40,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.75,10.19,0.44,dam_20230601-20230701.csv
2023/06/01 00:50,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.79,9.98,0.19,dam_20230601-20230701.csv
2023/06/01 01:00,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.83,8.93,-0.90,dam_20230601-20230701.csv
2023/06/01 01:10,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.79,9.43,-0.36,dam_20230601-20230701.csv
2023/06/01 01:20,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.73,9.80,0.07,dam_20230601-20230701.csv
2023/06/01 01:30,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.76,10.24,0.48,dam_20230601-20230701.csv
2023/06/01 01:40,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.81,10.06,0.25,dam_20230601-20230701.csv
2023/06/01 01:50,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.81,9.75,-0.06,dam_20230601-20230701.csv
2023/06/01 02:00,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.77,9.85,0.08,dam_20230601-20230701.csv
2023/06/01 02:10,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.32,92.70,9.79,7.99,-1.80,dam_20230601-20230701.csv
2023/06/01 02:20,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.31,92.60,7.19,10.39,3.20,dam_20230601-20230701.csv
2023/06/01 02:30,2.58,0.00,water_20230601-20230701.csv,0.00,0.00,38.31,92.60,3.16,8.38,5.22,dam_20230601-20230701.csv
